quarter_date,forecast,forecast_lower,forecast_upper,is_future
1997-09-01 00:00:00,63.187476276,60.61509087523112,65.60756042232627,f
1997-12-01 00:00:00,63.53009127610492,61.069532237543434,66.15691433666878,f
1998-03-01 00:00:00,63.86894127620868,61.27093262714861,66.46986099032132,f
1998-06-01 00:00:00,64.21532127631475,61.730084591132325,66.8184377826527,f
1998-09-01 00:00:00,64.56170127642083,61.973466284192305,66.96618504682975,f
1998-12-01 00:00:00,64.90431627206905,62.39764867262721,67.50140260978425,f
1999-03-01 00:00:00,65.24316626776508,62.722900905596276,67.8735377488632,f
1999-06-01 00:00:00,65.58954626336546,63.12816061498907,68.1200621538237,f
1999-09-01 00:00:00,65.93592624901933,63.39247496996656,68.39085411220076,f
1999-12-01 00:00:00,66.27854123482913,63.90671768164529,68.6796887773273,f
2000-03-01 00:00:00,66.62115622063894,63.88075251736412,69.09824093756112,f
2000-06-01 00:00:00,66.9675362062928,64.36028667301672,69.56327746860538,f
2000-09-01 00:00:00,67.31405306317212,64.6325191262165,69.73851912508215,f
2000-12-01 00:00:00,67.65680343247666,65.01545713623025,70.10443710436688,f
2001-03-01 00:00:00,67.99578731420642,65.5657198400053,70.41682851772973,f
2001-06-01 00:00:00,68.34230417108574,65.61378746763945,70.88970171823851,f
2001-09-01 00:00:00,68.7040273213193,66.14535251027645,71.46338870476768,f
2001-12-01 00:00:00,69.06181869818079,66.5449242407883,71.44195746345368,f
2002-03-01 00:00:00,69.41567830167017,66.82772051866769,71.9805939759382,f
2002-06-01 00:00:00,69.85799779842642,67.14241959854675,72.09287585577023,f
2002-09-01 00:00:00,70.30031729518268,67.69770953036115,72.82168455009463,f
2002-12-01 00:00:00,70.737828971322,68.07603343340307,73.11006521741724,f
2003-03-01 00:00:00,71.17053282684442,68.70806803629421,73.6394917962199,f
2003-06-01 00:00:00,71.79623888748922,69.39934256579232,74.38336830039594,f
2003-09-01 00:00:00,72.42194494813403,69.99970152110691,74.87028293158201,f
2003-12-01 00:00:00,73.04084985594574,70.69282602228446,75.53633898254537,f
2004-03-01 00:00:00,73.83864886514023,71.24727502638434,76.37773688156751,f
2004-06-01 00:00:00,74.64521489641376,72.09784324544545,77.28858321063917,f
2004-09-01 00:00:00,75.45178092768732,72.93877534036628,77.91750413858976,f
2004-12-01 00:00:00,76.24957993688182,73.70906343831868,78.66847581423183,f
2005-03-01 00:00:00,77.06776955238655,74.46885287722829,79.64047285400292,f
2005-06-01 00:00:00,77.90414115934695,75.32981369358035,80.59614191820928,f
2005-09-01 00:00:00,78.74051276630736,76.25363945718048,81.35285890212451,f
2005-12-01 00:00:00,79.56779337753993,76.93010158295945,82.08762588489505,f
2006-03-01 00:00:00,80.38598299528122,77.95320487593266,82.85647471641165,f
2006-06-01 00:00:00,81.22235460452788,78.74411229089242,83.75237707686571,f
2006-09-01 00:00:00,82.0587262137745,79.54578408795759,84.68928593010462,f
2006-12-01 00:00:00,82.88600681403179,80.48765489330451,85.53829662217397,f
2007-03-01 00:00:00,83.70419641868183,81.21193689230742,86.12977379482518,f
2007-06-01 00:00:00,84.54056801454632,81.95020234637646,87.03567622530335,f
2007-09-01 00:00:00,85.37693961041082,82.7637684096961,87.95807069721708,f
2007-12-01 00:00:00,86.2042202090568,83.79825432882889,88.79666915155896,f
2008-03-01 00:00:00,87.03150080770277,84.50426748266561,89.56435768416591,f
2008-06-01 00:00:00,87.86787240193824,85.29832349365412,90.34057251153861,f
2008-09-01 00:00:00,88.70424399617374,86.26378100071229,91.11677664952236,f
2008-12-01 00:00:00,89.53152460927635,87.10815816076091,91.96160491551251,f
2009-03-01 00:00:00,90.34971422663052,87.77775072661716,93.05082755569525,f
2009-06-01 00:00:00,91.18608583548149,88.58673633136738,93.75122373106447,f
2009-09-01 00:00:00,92.02245744575819,89.55292454183079,94.7008350268341,f
2009-12-01 00:00:00,92.84973806027104,90.19517220752074,95.3297783680218,f
2010-03-01 00:00:00,93.66792767902001,91.01513027545431,96.21201778700211,f
2010-06-01 00:00:00,94.50429928929672,92.03974211401251,97.17070377433924,f
2010-09-01 00:00:00,95.34067089845463,92.82739600043469,97.99858369445747,f
2010-12-01 00:00:00,96.16795151186085,93.63652041010279,98.9701170888056,f
2011-03-01 00:00:00,96.98614112951532,94.36836108279294,99.47514625671137,f
2011-06-01 00:00:00,97.82251273867325,95.15957138059099,100.28402567846948,f
2011-09-01 00:00:00,98.65888432170387,96.13924187634561,101.11915085356526,f
2011-12-01 00:00:00,99.48616490926676,97.02638875294025,102.07721246039806,f
2012-03-01 00:00:00,100.31344549682963,97.89658427870394,102.93933722517284,f
2012-06-01 00:00:00,101.01560338586023,98.2704064890796,103.43468825606114,f
2012-09-01 00:00:00,101.71776127489085,99.07123497559714,104.43343782385081,f
2012-12-01 00:00:00,102.41228701295373,99.90558221726782,105.03935268648233,f
2013-03-01 00:00:00,103.09918060004888,100.46209874654195,105.55808664067361,f
2013-06-01 00:00:00,103.58055814819248,101.04296840191887,106.11378101318813,f
2013-09-01 00:00:00,104.06193569633608,101.50243358126387,106.528750781079,f
2013-12-01 00:00:00,104.53808087982594,101.96475654043721,107.13541124343196,f
2014-03-01 00:00:00,105.00899369866207,102.48425723107908,107.58069215102952,f
2014-06-01 00:00:00,105.27909181281488,102.77933417590589,107.75556185344983,f
2014-09-01 00:00:00,105.5491899269677,103.01364731578924,107.9539609365804,f
2014-12-01 00:00:00,105.81635219205364,103.29285790446448,108.11112548984144,f
2015-03-01 00:00:00,106.0805786031262,103.3361596980313,108.74005737233425,f
2015-06-01 00:00:00,106.3506767122226,103.68424865609353,108.65562262036016,f
2015-09-01 00:00:00,106.62077482131897,104.01772517064568,109.20441633483632,f
2015-12-01 00:00:00,106.88793708140345,104.31418027202913,109.52968597087435,f
2016-03-01 00:00:00,107.15509933276188,104.51191627609482,109.72446224792347,f
2016-06-01 00:00:00,107.42519743303635,104.65298655469971,110.03431362539524,f
2016-09-01 00:00:00,107.69529553331081,105.11931320950355,110.17957724202002,f
2016-12-01 00:00:00,107.96246045445221,105.31858189153328,110.48798340217499,f
2017-03-01 00:00:00,108.22668949733931,105.5476835757106,110.84539361123068,f
2017-06-01 00:00:00,108.49679029673501,105.9463759678572,111.01042575992132,f
2017-09-01 00:00:00,108.76689109613072,106.12840435164054,111.22925423196224,f
2017-12-01 00:00:00,109.04887520961164,106.51856011181702,111.7012793131448,f
2018-03-01 00:00:00,109.3277605965708,107.03567280135566,111.83997312777869,f
2018-06-01 00:00:00,109.6128434365735,107.08347925042092,112.16883741439645,f
2018-09-01 00:00:00,109.89792627657619,107.37145949782082,112.57937374228777,f
2018-12-01 00:00:00,110.32247455809996,107.73803525668978,113.03716166405344,f
2019-03-01 00:00:00,110.7423574738927,108.21937444589459,113.40621928257015,f
2019-06-01 00:00:00,111.17157112114752,108.60787948924839,113.58578672654717,f
2019-09-01 00:00:00,111.86062413679586,109.3546674859607,114.53204343881043,f
2019-12-01 00:00:00,112.54218744575238,110.10305761158324,115.18293023460751,f
2020-03-01 00:00:00,113.2237507547089,110.7204946368609,115.68109154985001,f
2020-06-01 00:00:00,113.91280377035726,111.3019053215065,116.493419666438,f
2020-09-01 00:00:00,115.04878188906173,112.40836402815796,117.64855286422248,f
2020-12-01 00:00:00,116.1724124195194,113.61834814446007,118.73500877524567,f
2021-03-01 00:00:00,117.2836953617303,114.75196757131305,119.82492627604336,f
2021-06-01 00:00:00,118.41967348043475,115.8391774972067,120.77371925466426,f
2021-09-01 00:00:00,119.55565159913922,117.05159771828967,121.9557221117861,f
2021-12-01 00:00:00,120.67928212959687,118.09532850174502,123.05465784783293,f
2022-03-01 00:00:00,121.79056507180776,119.35009941825199,124.45888654468125,f
2022-06-01 00:00:00,122.92654319051225,120.37362450277978,125.44583086832056,f
2022-09-01 00:00:00,124.06252130921672,121.43798836932515,126.49482809263576,f
2022-12-01 00:00:00,125.18615183967438,122.43032211415087,127.61904396726719,f
2023-03-01 00:00:00,126.29743478188529,123.9412431989101,128.83854465344137,f
2023-06-01 00:00:00,127.43341290058972,124.81308582061132,129.8174924726933,f
2023-09-01 00:00:00,128.5693910192942,126.00788538868622,131.13362701456248,f
2023-12-01 00:00:00,129.69302154975188,127.00567147269474,132.14971807931502,f
2024-03-01 00:00:00,130.81665208020954,128.37969990190086,133.425388246102,f
2024-06-01 00:00:00,131.95263019891402,129.3601078107391,134.37948675426705,f
2024-09-01 00:00:00,133.08860831761848,130.6458180101324,135.5704627465039,f
2024-12-01 00:00:00,134.21223884807614,131.5756402629113,136.6672306824306,f
2025-03-01 00:00:00,135.32352179028703,132.62518422977703,137.8935207609706,f
2025-06-01 00:00:00,136.4594999089915,134.01449271307368,138.97136297011744,f
2025-09-01 00:00:00,137.59547802769595,134.92601052062736,140.12209336244194,f
2025-12-01 00:00:00,138.71910855815364,136.0468173394649,141.17846216898943,f
2026-03-01 00:00:00,139.83039150036453,137.2139864610035,142.45021231442976,f
2026-06-01 00:00:00,140.96636961906896,138.58866535454308,143.7678595634318,t
2026-09-01 00:00:00,142.10234773777344,139.58589013303018,144.5500262390073,t
2026-12-01 00:00:00,143.2259782682311,140.5444740643522,145.86699847814495,t
2027-03-01 00:00:00,144.337261210442,141.8989381012514,146.9202148111825,t
