quarter_date,freight,fuel,wage,cpi
1997-09-01,64.3,37.69,66.6,46.28
1997-12-01,65.0,38.13,67.2,46.39
1998-03-01,64.7,36.47,67.8,46.51
1998-06-01,65.2,36.79,68.3,46.78
1998-09-01,65.2,35.99,68.8,46.91
1998-12-01,65.4,35.44,69.3,47.11
1999-03-01,65.9,34.5,69.9,47.08
1999-06-01,65.8,36.32,70.4,47.29
1999-09-01,65.9,39.52,70.9,47.72
1999-12-01,66.0,39.78,71.4,47.97
2000-03-01,66.1,42.87,71.8,48.4
2000-06-01,66.7,44.25,72.5,48.77
2000-09-01,66.6,48.86,73.1,50.59
2000-12-01,67.3,49.51,73.8,50.76
2001-03-01,68.0,47.71,74.5,51.3
2001-06-01,68.3,49.22,75.2,51.73
2001-09-01,68.5,45.14,75.7,51.87
2001-12-01,68.7,43.5,76.3,52.35
2002-03-01,69.0,43.47,76.9,52.82
2002-06-01,69.0,46.73,77.5,53.2
2002-09-01,69.1,46.17,78.2,53.56
2002-12-01,69.9,47.01,78.9,53.92
2003-03-01,70.9,51.04,79.7,54.62
2003-06-01,71.6,46.15,80.3,54.62
2003-09-01,71.6,47.53,81.0,54.93
2003-12-01,72.0,47.1,81.8,55.22
2004-03-01,72.6,48.69,82.5,55.71
2004-06-01,72.8,51.53,83.2,55.97
2004-09-01,73.9,53.25,83.9,56.2
2004-12-01,75.8,54.59,84.8,56.63
2005-03-01,76.3,53.11,85.7,57.01
2005-06-01,77.7,56.91,86.6,57.35
2005-09-01,78.7,63.51,87.4,57.92
2005-12-01,79.8,62.91,88.3,58.22
2006-03-01,81.4,63.81,89.2,58.72
2006-06-01,82.5,70.97,90.1,59.65
2006-09-01,83.8,70.14,90.8,60.18
2006-12-01,82.6,61.47,91.8,60.11
2007-03-01,82.8,62.33,92.7,60.16
2007-06-01,83.6,68.0,93.8,60.9
2007-09-01,84.5,65.47,94.7,61.32
2007-12-01,85.2,70.25,95.6,61.89
2008-03-01,87.1,74.08,96.5,62.72
2008-06-01,88.9,80.48,97.7,63.63
2008-09-01,93.2,82.08,98.7,64.37
2008-12-01,94.4,67.17,99.7,64.16
2009-03-01,91.8,61.71,100.6,64.23
2009-06-01,90.6,63.95,101.4,64.55
2009-09-01,91.3,66.48,101.8,65.16
2009-12-01,91.8,64.64,102.6,65.51
2010-03-01,91.9,67.37,103.6,66.12
2010-06-01,93.0,68.81,104.4,66.52
2010-09-01,94.3,66.27,105.5,67.0
2010-12-01,94.6,67.69,106.6,67.26
2011-03-01,95.9,73.6,107.6,68.3
2011-06-01,98.6,76.56,108.4,68.93
2011-09-01,98.6,75.5,109.4,69.34
2011-12-01,99.8,76.06,110.4,69.34
2012-03-01,100.8,77.95,111.5,69.38
2012-06-01,100.9,78.47,112.5,69.74
2012-09-01,103.4,75.39,113.4,70.69
2012-12-01,104.8,77.33,114.2,70.87
2013-03-01,103.7,78.24,115.0,71.11
2013-06-01,105.0,75.81,115.7,71.38
2013-09-01,104.6,81.59,116.4,72.25
2013-12-01,105.5,80.71,117.2,72.77
2014-03-01,107.5,83.98,118.1,73.2
2014-06-01,107.5,81.72,118.7,73.57
2014-09-01,108.0,79.58,119.4,73.88
2014-12-01,107.9,74.24,120.1,74.02
2015-03-01,106.5,65.16,120.8,74.16
2015-06-01,106.4,73.1,121.4,74.69
2015-09-01,105.1,71.8,122.1,74.98
2015-12-01,105.4,67.74,122.7,75.27
2016-03-01,105.4,60.99,123.3,75.12
2016-06-01,105.9,64.63,123.9,75.45
2016-09-01,106.0,62.75,124.4,75.98
2016-12-01,106.5,67.02,125.0,76.38
2017-03-01,106.7,70.86,125.7,76.73
2017-06-01,106.9,69.04,126.3,76.88
2017-09-01,107.5,67.43,126.9,77.35
2017-12-01,107.9,74.42,127.6,77.87
2018-03-01,109.2,75.12,128.2,78.21
2018-06-01,109.8,80.3,129.0,78.49
2018-09-01,111.0,81.48,129.8,78.83
2018-12-01,111.7,79.43,130.5,79.24
2019-03-01,111.5,72.51,131.2,79.23
2019-06-01,112.2,79.91,132.0,79.7
2019-09-01,112.8,78.28,132.7,80.15
2019-12-01,113.7,81.75,133.4,80.7
2020-03-01,113.9,76.86,134.1,81.0
2020-06-01,113.1,61.95,134.4,79.44
2020-09-01,111.5,67.79,134.5,80.67
2020-12-01,112.3,68.13,135.2,81.4
2021-03-01,112.7,74.09,136.1,81.87
2021-06-01,114.0,78.92,136.8,82.47
2021-09-01,115.0,84.53,137.5,83.17
2021-12-01,116.7,90.19,138.4,84.23
2022-03-01,118.6,100.06,139.3,86.05
2022-06-01,123.5,104.25,140.5,87.59
2022-09-01,130.8,99.79,141.8,89.2
2022-12-01,131.7,102.04,143.0,90.85
2023-03-01,131.1,101.15,144.4,92.08
2023-06-01,128.8,100.49,145.6,92.87
2023-09-01,127.8,107.71,147.6,93.94
2023-12-01,134.8,107.47,149.1,94.53
2024-03-01,135.0,106.38,150.2,95.41
2024-06-01,134.9,108.29,151.5,96.41
2024-09-01,134.9,101.0,152.8,96.62
2024-12-01,132.9,99.04,153.9,96.81
2025-03-01,134.0,100.95,155.3,97.7
2025-06-01,134.9,97.46,156.7,98.43
2025-09-01,135.7,99.41,157.9,99.73
2025-12-01,137.4,100.55,159.2,100.32
2026-03-01,137.3,105.79,160.4,101.7
